leaf_name,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,STRAIN,LOCUSTAG
Mars-95.bin.12,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-95.bin.12
Mars-1.bin.138,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-1.bin.138
Mars-60b.bin.66,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-60b.bin.66
Mars-71.bin.43,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-71.bin.43
Mars-84.bin.107,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-84.bin.107
Mars-82.bin.10,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-82.bin.10
Mars-78.bin.14,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-78.bin.14
Mars-86.bin.1,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-86.bin.1
Mars-91.bin.12,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-91.bin.12
Mars-14.bin.78,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-14.bin.78
Mars-79.bin.94,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-79.bin.94
Mars-27b.bin.5,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-27b.bin.5
Mars-53.bin.20,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-53.bin.20
Mars-44.bin.26,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-44.bin.26
Mars-16.bin.78,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-16.bin.78
Mars-14.bin.15,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-14.bin.15
Mars-64.bin.118,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-64.bin.118
Mars-62.bin.6,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-62.bin.6
Mars-20.bin.109,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-20.bin.109
Mars-53.bin.9,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-53.bin.9
Mars-5.bin.41,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-5.bin.41
Mars-15.bin.43,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-15.bin.43
Mars-84.bin.139,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,,,,,Mars-84.bin.139
Mars-73.bin.63,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-73.bin.63
Mars-34.bin.55,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-34.bin.55
Mars-8b.bin.18,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-8b.bin.18
Mars-78.bin.5,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-78.bin.5
Mars-83.bin.14,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-83.bin.14
Mars-55.bin.6,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-55.bin.6
Mars-54.bin.43,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-54.bin.43
Mars-38.bin.101,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-38.bin.101
Mars-28.bin.37,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-28.bin.37
Mars-85b.bin.93,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-85b.bin.93
Mars-11.bin.127,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-11.bin.127
Mars-13.bin.90,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-13.bin.90
Mars-64.bin.26,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-64.bin.26
Mars-45.bin.181,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-45.bin.181
Mars-20.bin.71,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-20.bin.71
Mars-73.bin.13,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-73.bin.13
Mars-85b.bin.160,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-85b.bin.160
Mars-35.bin.6,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-35.bin.6
Mars-93.bin.55,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-93.bin.55
Mars-61.bin.58,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-61.bin.58
Mars-82.bin.5,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-82.bin.5
Mars-75b.bin.17,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-75b.bin.17
Mars-68.bin.27,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-68.bin.27
Mars-57b.bin.170,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-57b.bin.170
Mars-50b.bin.3,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-50b.bin.3
Mars-87b.bin.14,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-87b.bin.14
Mars-63.bin.44,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-63.bin.44
Mars-89b.bin.127,fungi,Microsporidia,Microsporidiomycotina,,,,,,,,Mars-89b.bin.127
Mars-85b.bin.41,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Verrucariales,Verrucariaceae,Endocarpon,,,Mars-85b.bin.41
Mars-14.bin.52,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,,,,Mars-14.bin.52
Mars-76.bin.7,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-76.bin.7
Mars-75b.bin.12,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-75b.bin.12
Mars-17.bin.124,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-17.bin.124
Mars-82.bin.1,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-82.bin.1
Mars-1.bin.40,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-1.bin.40
Mars-3.bin.40,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-3.bin.40
Mars-84.bin.127,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-84.bin.127
Mars-60b.bin.81,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-60b.bin.81
Mars-2.bin.177,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-2.bin.177
Mars-95.bin.17,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-95.bin.17
Mars-72.bin.26,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-72.bin.26
Mars-50b.bin.11,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-50b.bin.11
Mars-69.bin.4,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-69.bin.4
Mars-54.bin.38,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-54.bin.38
Mars-79.bin.22,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-79.bin.22
Mars-65.bin.54,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-65.bin.54
Mars-87b.bin.15,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-87b.bin.15
Mars-64.bin.101,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-64.bin.101
Mars-74.bin.5,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-74.bin.5
Mars-91.bin.36,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-91.bin.36
Mars-29.bin.19,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-29.bin.19
Mars-7.bin.33,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-7.bin.33
Mars-93.bin.105,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-93.bin.105
Mars-68.bin.26,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-68.bin.26
Mars-55.bin.48,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-55.bin.48
Mars-23.bin.49,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-23.bin.49
Mars-24.bin.24,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-24.bin.24
Mars-71.bin.78,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-71.bin.78
Mars-4b.bin.17,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-4b.bin.17
Mars-9.bin.52,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-9.bin.52
Mars-19.bin.51,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-19.bin.51
Mars-6.bin.17,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-6.bin.17
Mars-20.bin.57,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-20.bin.57
Mars-5.bin.32,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-5.bin.32
Mars-86.bin.20,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-86.bin.20
Mars-52.bin.65,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-52.bin.65
Mars-62.bin.37,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-62.bin.37
Mars-53.bin.66,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-53.bin.66
Mars-1.bin.89,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-1.bin.89
Mars-23.bin.113,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-23.bin.113
Mars-24.bin.26,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-24.bin.26
Mars-36.bin.40,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-36.bin.40
Mars-63.bin.60,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-63.bin.60
Mars-42.bin.1,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-42.bin.1
Mars-35.bin.58,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-35.bin.58
Mars-18.bin.66,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-18.bin.66
Mars-11.bin.28,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-11.bin.28
Mars-13.bin.92,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-13.bin.92
Mars-14.bin.73,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-14.bin.73
Mars-16.bin.74,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-16.bin.74
Mars-89b.bin.57,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-89b.bin.57
Mars-85b.bin.121,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-85b.bin.121
Mars-57b.bin.28,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-57b.bin.28
Mars-33.bin.87,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-33.bin.87
Mars-42.bin.96,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-42.bin.96
Mars-56.bin.111,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-56.bin.111
Mars-61.bin.38,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-61.bin.38
Mars-64.bin.54,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-64.bin.54
Mars-20.bin.79,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-20.bin.79
Mars-1.bin.54,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-1.bin.54
Mars-29.bin.71,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-29.bin.71
